The lowest temperature ever measured is -37.8 ° C on January 15, 1957.	La temperatura más baxo enxamás midida ye de -37,8 °C el 15 de xineru de 1957.
The measures taken by Alfred to repress this revolt culminated in the capture of London in 885 or 886, and the treaty known as Alfred and Guthrum's peace, whereby the boundaries of the treaty of Wedmore (with which this is often confused) were materially modified in Alfred's favour.	Les midíes tomaes por Alfredo pa reprimir esta sublevación rematen con tomar de Londres en 885 ó 886, y col tratáu conocíu como paz d'Alfredo y de Guthrum, pol que les llendes del tratáu de Wedmore (con cual confundir de cutiu) fueron modificaos materialmente pa beneficiu d'Alfredo.
Naturally occurring zirconium is composed of four stable isotopes: 90Zr, 91Zr, 92Zr, and 94Zr.	El zirconiu d'orixe natural ta formáu por cuatro isótopos estables:90Zr, 91Zr, 92Zr, 94Zr y un radioisótopu de bien llarga vida media 96Zr.
Please enter a tag name.	Introduz un nome d'etiqueta.
He was then executed in 1535.	Foi executáu en 1535.
Mahler's Hamburg post was as chief conductor, subordinate to the director, Bernhard Pohl (known as Pollini) who retained overall artistic control.	El cargu de Mahler en Hamburgu foi como direutor xefe, subordináu al direutor, Bernhard Pohl (conocíu como Pollini), que tenía tol control artísticu.
A Member State, the European Parliament, the Council or the Commission may obtain the opinion of the Court of Justice as to whether an agreement envisaged is compatible with the provisions of the Constitution.	Un Estáu miembru, el Parlamentu Européu, el Conseyu o la Comisión van poder solicitar el dictame del Tribunal de Xusticia sobre la compatibilidá cola Constitución de cualquier alcuerdu previstu.
It is believed that from 39,000 Jews inside the state only 9,000 survived; the rest had been either killed or deported to Germany, the two because of the community authorities plus the German Military by itself.	Albídrase que de los 39 000 xudios qu'agospiaben nel país, namái sobrevivieron 9000; los demás foron asesinaos o deportaos a Alemaña, dambos poles autoridaes llocales y el propiu exércitu alemán.
In Canada, the Inuit are represented by the Inuk Tapiriit Kanatami.	En Canadá, los inuit son representaos pola inuit Tapiriit Kanatami.
The congresses may take place during the first or the second semester of the academic year.	Los congresos pueden tener llugar mientres el primera o'l segundu semestre del cursu académicu.
The first European to come to Honolulu was Captain William Brown – an Englishman who came in 1794.	El primer européu qu'atracó nel puertu de Honolulu foi el capitán británicu William Brown, qu'aportó a elli en 1794.
By the next year (879) not only Wessex, but Mercia, west of Watling Street, was cleared of the invader.	Al añu siguiente (879) non solamente Wessex, sinón tamién Mercia, al oeste de Watling Street, taba llibre del invasor.
It maintained a price at or near $10,000 per tonne from 1997 through 2003, and reached, due to increased demand, a peak of $103,000 per tonne in June 2005.[33] In 2008 the London Metal Exchange announced that molybdenum would be traded as a commodity on the exchange.[34]	Calteníase un preciu n'o cerca de $10.000 por tonelada ente 1997 y 2003, y algamó, debíu al aumentu de la demanda, un máximu de $103.000 por tonelada en xunu de 2005.[24] En 2008, la Bolsa de Metales de Londres anunció que'l molibdenu axústase como unu de los productos básicos nel intercambiu.[25]
At the battle of Telamon in 225 B.C. a large Celtic army was trapped between two Roman forces and crushed.	Na batalla de Telemón, nel 225 e.C un gran exércitu celta perdió la batalla al quedar entartalláu ente dos fuerces romanes.
Ban received a bachelor's degree in international relations from Seoul National University in 1970.	Ban recibió'l grau de bachiller en relaciones internacionales na Universidá Nacional de Seúl en 1970.
The world’s first subway was built in London in 1863.	El primer metro del mundu inauguróse en Londres en 1863.
Alberta is one of Canada's western provinces.	Alberta ye una de les provincies de Canadá.
His painting later evolved towards "Synthetism" in which neither form nor colour predominate but each has an equal role.	La so pintura dempués evolucionó escontra'l Sintetismu nel cual nin la forma nin el color predominen sinón que cada unu tien un papel equivalente.
Van Wyk and Geist argue that this is a problem for sexuality research because the few studies that have observed bisexuals separately have found that bisexuals are often different from both heterosexuals and homosexuals.	Van Wyk y Geist argumenten qu'esto ye un problema pa la investigación de la sexualidá porque los pocos estudios que repararon bisexuales por separáu atoparon que los bisexuales son de cutiu distintos d'heterosexuales y homosexuales.
A century later, in 1369 the Mamluks again conquered the city, but were forced to leave.	Un sieglu más tarde, en 1369 de nuevu los mamelucos conquistaron la ciudá otra vegada, pero fueron forzaos a dexala.
As part of the Jubilee celebrations, Brian May performed a guitar solo of "God Save the Queen",[378] as featured on Queen's A Night at the Opera, from the roof of Buckingham Palace.	Como parte de les celebraciones d'esi fechu Brian May llevó a cabu un sólu de guitarra del "God Save the Queen",[36] tal y como ta interpretada nel álbum de Queen de A Night at the Opera, dende'l teyáu del Buckingham Palace.
July 11 - Italian scientist Amedeo Avogadro publishes his memoire about molecular content of gases.	1811 - El científicu italianu Amedeo Avogadro espubliza'l so informe sobre'l conteníu molecular de los gases.
Today, samarium is primarily obtained through an ion exchange process from monazite sand ((Ce, La, Th, Nd, Y)PO4), a material rich in rare earth elements that can contain as much as 2.8% samarium.	Anguaño'l samariu ye llográu principalmente al traviés d'un procesu d'intercambiu iónicu del sable de monacita ((Ce, La, Th, Nd, Y)PO4), un material rico n'elementos de tierres rares que contien hasta un 2,8 % de samariu.
1948: REPESA incorporation (oil refineries located in Escombreras) created for the installation of a refinery in the Valley of Escombreras (Cartagena)	En 1948 constitúyese la sociedá REPESA (Refinería de Petróleos d'Escombreres S.A.), surdida de la refinería de Cartaxena, nel valle d'Escombreres.
Graphemes are the minimally significant elements which taken together comprise the set of "building blocks" out of which texts of a given writing system may be constructed, along with rules of correspondence and use.	Los grafemes son los elementos de significáu mínimu que xuntos componen "bloques de construcción" colos cualos los testos d'un determináu sistema d'escritura pueden construyise, xuntu con riegles de correspondencia y usu.
As Pascal said, “The heart has its reasons of which reason knows not.”	Dicía Pascal que'l corazón tien razones que la razón desconoz.
James Francis Cagney, Jr. (July 17, 1899–March 30, 1986) was an American film actor.	James Francis Cagney, Jr. (17 de xunetu de 1899 - 30 de marzu de 1986) foi un actor de cine estaunidense.
1927 – Leon Trotsky is expelled from the Soviet Communist Party, leaving Joseph Stalin in undisputed control of the Soviet Union .	1927 - León Trotsky ye espulsáu del Partíu Comunista, dexando a Joseph Stalin el control dafechu de la Xunión Soviética.
In the Merkato district, which happens to be the largest open market in Africa, is the impressive The Grand Anwar Mosque, the biggest mosque in Ethiopia.	Nel distritu de Merkato, que ye'l mercáu al campu grande d'África, ta la impresionante Mezquita Anwar, la mezquita más grande d'Etiopía.
‘They who can give up essential liberty to obtain a little temporary safety, deserve neither liberty nor safety.’ – Benjamin Franklin	"Quienes pueden arrenunciar a la so llibertá esencial pa llograr una pequeña seguridá temporal nun merecen nin llibertá nin seguridá" Benjamin Franklin
As a performer or songwriter, McCartney was responsible for 32 number one singles on the US Billboard Hot 100 chart, and has sold 15.5 million RIAA certified albums in the US alone.	Como intérprete o compositor, McCartney foi'l responsable de 31 senciellos númberu unu na llista estaunidense Billboard Hot 100, y vendió hasta la fecha en redol a 15,5 millones de discos n'Estaos Xuníos según la RIAA.
In order to be eligible for the program a candidate must score a minimum of 60 points.	Pa ser almitíu nel Programa los candidatos tendrán de llograr un mínimu de 60 puntos nesti baremu.
The Byzantine navy briefly won back Alexandria in 645, but lost it again in 646 shortly after the Battle of Nikiou;[34] the Islamic forces raided Sicily in 652, while Cyprus and Crete were captured in 653.	Mientres el so reináu l'armada bizantina recuperó de volao Alexandría nel 645, pero perder de nuevu nel 646 tres la batalla de Nikiou.[19] Les fuerces islámiques asaltaron Sicilia nel 652, ente que Chipre y Creta fueron prindaes nel 653.
He earned his 100th cap against France on 26 March 2008, and became the all-time outfield player appearance record holder on 28 March 2009, when he surpassed Bobby Moore's total of 108 caps.	Ganó'l so partíu númberu 100 contra Francia el 26 de marzu de 2008, y convirtióse nel máximu xugador de tolos tiempos en xugar más partíos el 28 de marzu de 2009, cuando superó los 108 partíos totales de Bobby Moore.
It was staged with the aim of creating a fully independent Ireland as a state with a republican constitution.	Foi puesta n'escena col envís de crear una Irlanda independiente dafechu, com un estáu de constitución republicana.
Catalan is the eighth most active language in the world in terms of activity on blogs and the 15th on Wikipedia, the popular electronic encyclopedia, which attests to "an online presence much greater than its demographic weight with 10 million speakers".	El catalán ye l’ochavu idioma del mundiu con mayor actividá nos blogues y el decimoquintu en Wikipedia, la popular enciclopedia lletrónica, lo qu’atestigua "una presencia na rede muncho mayor del pesu demográficu de los sos 10 millones de falantes".
In May 2007, while arguing that the United States should directly talk to Iran, Carter again stated that Israel has 150 nuclear weapons in its arsenal.[89]	En mayu de 2007, ente que l'argumentu de qu'Estaos Xuníos tien de falar directamente a Irán, Carter afirmó qu'Israel tenía 150 armes nucleares nel so arsenal.[117]
In reference to this, contributed their grain of sand on the protests in Spain in May 2011 writing the preface to the Spanish edition of the book ‘Indignez-vous!’	En referencia a esto, punxo'l so granu de sable nes protestes n'España de mayu de 2011 escribiendo'l prólogu a la edición española del llibru ¡Indignáivos!, de Stéphane Hessel.
Justin Drew Bieber (London, Ontario, March 1, 1994), better known as 7 Justin Bieber is a Canadian pop singer.	Justin Drew Bieber (London, Ontario, 1 de marzu de 1994),[1] más conocíu como Justin Bieber, ye un cantante canadiense de pop.
Raidió na Gaeltachta (the Irish language station targeted at the gaeltachtaí, the Irish language speaking areas of Ireland)	RTÉ Raidió na Gaeltachta (emisora n'irlandés centrada nel gaeltacht, comunidá de fala gaélica d'Irlanda).
This is undisputed evidence.	Esto ye una evidencia indiscutible.
Heisenberg's uncertainty principle is represented by the statement that the operators corresponding to certain observables do not commute.	El principiu d'incertidume de Heisenberg representar pola aseveración de qu'el operadores correspondientes a ciertos observables non conmutan.
The pattern may have one or more large dots.	El dibuxu pue tener tamién unu o más puntos grandes.
Because of the intense personality conflict developing between Franklin and Wilkins, Randall[58] divided the work on DNA.	Debíu al intensu conflictu de personalidaes ente Franklin y Wilkins, Randall [57] estremó'l trabayu relativu al ADN.
That be ye first mistake.	Esti foi'l primer equivocu.
Arquette also worked along side Drew Barrymore in the movie Never Been Kissed (1999) as her older brother.	Arquette tamién trabayó xuntu a Drew Barrymore na película Never Been Kissed (1999) como'l so hermanu mayor.
Formerly, people used apparent solar time, resulting in the time differing slightly from town to town.	Anteriormente, la xente usaba'l tiempu solar aparente, colo que la hora s'estremaba un poco d'una ciudá a otra.
Oceanic crust is the thin layer of solidified volcanic basalt that covers the Earth’s mantle.	La corteza oceánica ye una capa fina del basaltu volcánicu solidificáu que cubre el mantu de la Tierra.
Austria, previously an ally of the French, took the opportunity to attempt to restore its imperial territories in Germany as held prior to Austerlitz.	Austria, primeramente aliada de Francia, aprovechó la oportunidá d'intentar recuperar el so antiguu Imperiu alemán qu'esistiera antes de Austerlitz.
The National Park Bernardo O’Higgins	Parque Bernardo O'Higgins creáu
The couple had actually separated in 1989 but reconciled in 1993.	En 1989 la pareya dixebróse, pero reconciliar en 1993.
In 1938 Mengelberg revealed the existence of the so-called "Dresden archive", a series of manuscripts in the possession of the widowed Marion von Weber.[33] The archive was almost certainly destroyed in the bombing of Dresden in 1945;[26] according to Mahler historian Donald Mitchell "the strong possibility remains that some important manuscripts, either early symphonies or parts of early symphonies, were to be found in Dresden."[33]	En 1938 Mengelberg reveló la esistencia del llamáu «Archivu Dresde», una serie de manuscritos en posesión de la vilba Marion von Weber.[32] L'archivu destruyóse casi por completu nel bombardéu de Dresde en 1945.[25] Según l'espertu en Mahler Donald Mitchell «hai una gran posibilidá de que dellos manuscritos importantes, amás de delles partes de les primeres sinfoníes, atópase en Dresde».[32]
In the 3rd century, Aksum began interfering in South Arabian affairs, controlling at times the western Tihama region among other areas.	Nel sieglu III, Aksum entamó a interferir nel sur d'Arabia, controlando n'ocasiones l'oeste de la rexón de Tihama, ente otres.
Budapest is the capital city of Hungary.	Budapest ye la capital d'Hungría.
To carry out, using the contents of this Website, any type of advertising such as sending unsolicited emails (spam) or similar communication.	Realizar, emplegando los conteníos d'esti Sitiu Web, cualquier tipu de publicidá como unvíu de correos electrónicos non solicitaos (spam) o comunicación similar.
“He who began a good work in you will perfect it until the day of Christ Jesus” (Phlp.	“El qu'empezó en vós la bona obra, va perfeccionar hasta'l día de Xesucristo” [Fil.
Confucianism is the only man as a social being made a senior and played a role, not as an isolated being.	El confucianismu ve sólo al home realizáu en tanto ser social qu'ocupa un puestu y desempeña una función, non como un ser aislláu.
It is the second most abundant element in the Earth's crust (27.7% by weight).	Ye'l segundu elementu más abondante na corteya terrestre (27,7% en pesu) depués del oxíxenu.
He was ruled out for six months.	Foi lliberáu dempués de seis meses.
Sankara seized power in a 1983 popularly supported coup at the age of 33.	Sankara tomó'l poder en 1983, cuando cuntaba con 33 años, en virtú d'un golpe d'estáu sofitáu por grandes capes de la población.
The first document that is produced for example for audio and video coding standards is called a verification model (VM) (previously also called a "simulation and test model").	El primer documentu que ye producíu por casu pa los estándares de codificación d'audiu y vídeu ye llamáu un modelu de verificación (VM) (enantes tamién llamáu un "modelu de simulación y prueba").
IPTC-NAA Digital Newsphoto Parameter Record (version 4)	Rexistru de párametros d' axencies de fotografía dixital IPTC- NAA (version 4)
Premiered on July 6 at the Studio des Ursulines, a Parisian Cine, which achieved a resounding success among the French intelligentsia and stayed nine consecutive months in the Studio 28 on display.	Se estrenó el 6 de xunetu nel Studio deas Ursulines, un cine-club parisín, nel qu'alcanzó un clamorosu éxitu ente la intelectualidá francesa, y permaneció n'exhibición nueve meses consecutivos nel Studio 28.
It is no wonder that with his exceptional talent he became one of the best players of fast games (called blitz , where each player has five minutes for the whole game).	Nun ye d'estrañar que col so escepcional talentu convertir n'unu de los meyores xugadores de partíes rápides (llamaes "blitz", onde cada xugador dispon de cinco minutos pa tola partida).
That the only valuable part of the British constitution is so because the very definition of a republic is an empire of laws, and not of men."	La única parte pervalible de la Constitución británica ye asina, porque la definición mesma d'una república ye un imperiu de lleis y non d'homes."
His father, Carlo Buonaparte, an attorney, was named Corsica’s representative to the court of Louis XVI in 1778, where he remained for a number of years.	So pa, Carlo Bonaparte, abogáu, foi nomáu en 1778 representante de Córcega na corte de Lluis XVI, llugar onde permaneció por dellos años.
Last Updated: 4th June 2011	Última vegada autualizáu: 4 d'abril de 2011
For me the symbol of life is color.	Pa mi'l símbolu de la vida ye'l color.
He received a Ph.D. from Princeton in 1942; his thesis advisor was John Archibald Wheeler.	Recibió un doctoráu de Princeton en 1942; el so direutor de tesis foi John Archibald Wheeler.
Francis Taylor was an art dealer, and Sara was a former actress whose stage name was "Sara Sothern".	Francis Taylor yera un marchante d'arte y Sara yera una ex actriz que'l so nome artísticu yera "Sara Sothern".
Pachuca de Soto, is the capital and largest city of the Mexican state of Hidalgo.	Pachuca de Soto ye la capital del estáu mexicanu de Hidalgo.
Read the Hebrew bible.	Ver tamién Biblia Hebrea.
Using the six IPCC SRES “marker” scenarios, models suggest that by the year 2100, the atmospheric concentration of CO2 could range between 541 and 970 ppm.[92] This is 90–250% above the concentration in the year 1750.	Usando los seis escenarios SRES del IPCC, los modelos suxuren que pal añu 2100 la concentración atmosférica de CO2 podría llegar ente 541 y 970 ppm.[85] Esto ye un 90-250 % percima de la concentración nel añu 1750.
Its structure is very simple, composed of a single (+) sense RNA genome enclosed in a protein shell called a capsid.	La so estructura ye bien senciella, compuesta d'un solu xenoma ARN de sentíu (+) zarráu nun pulgu de proteínes llamada cápside.
The Union shall ensure a high level of safety by measures to prevent and combat crime and promote coordination and cooperation between criminal police and judicial authorities and other competent authorities, as well as by the mutual recognition of judgments in criminal matters and the approximation of criminal laws.	La Unión ha esbrexar por garantizar un nivel eleváu de seguridá pentemedies de midíes de prevención de la delincuencia, el racismu y la xenofobia y de llucha en contra d’ellos, midíes de coordinación y cooperación ente autoridaes policiales y xudiciales y otres autoridaes competentes, asina como pentemedies de la reconocencia mutua de les resoluciones xudiciales en materia penal y, si ye necesario, pentemedies de l’aproximación de les lexislaciones penales.
By 1902, the British Empire was linked together by a network of telegraph cables, the so-called All Red Line.[17]	Pa 1902 tol imperiu taba conectáu por una rede telegráfica, la nomada All Red Line[9].
In 1985 Joel Feinberg introduced what is known as the "offense principle", arguing that Mill's harm principle does not provide sufficient protection against the wrongful behaviours of others.	En 1985, Joel Feinberg introdució lo que se conoz como'l "principiu d'ofiensa",[11] argumentando que'l principiu del dañu de Mill nun ufierta una protección abonda contra los comportamientos ilícitos de los demás.
East Timor had just gotten its independence from Indonesia in 2002.	Timor Oriental axuntóse a ellos nel 2002 dempués d'independizase d'Indonesia.
Zheng was born in Handan (邯鄲), the capital of the enemy State of Zhao.	Zheng nació en Handan (邯鄲), la capital del estáu enemigu de Zhao.
The study was commissioned by the European Parliament.	Esti estudiu foi encargáu pola Comisión europea.
The Anglo-Zanzibar War was fought between the United Kingdom and Zanzibar on 27 August 1896.	La Guerra Anglo-Zanzibariana foi una batalla protagonizada ente'l Reinu Xuníu y Zanzíbar el 27 d'agostu de 1896.
Beckham developed the first eleven years of his sports career at Manchester United, where he made his debut with the first team in 1992, with 17 years.	Beckham desenvolvió los primeros once años de la so carrera deportiva nel Manchester United, onde fixo'l so debú col primer equipu en 1992, con 17 años.
Napoleon Bonaparte died on the 5th May 1821.	Napoleón Bonaparte morrió'l 5 de mayu de 1821.
The main city is home to a majority of Sri Lanka's corporate offices, restaurants and entertainment venues.[6] Famous landmarks in Colombo include the Galle Face Green, the Viharamahadevi Park as well as the National Museum.	La zona central de la ciudá agospia la mayoría de les oficines corporatives, restoranes y llugares d'ociu de Sri Lanka.[4] Ente los llugares famosos de Colombo atópense'l parque Galle Face, el Parque Viharamahadevi y el Muséu Nacional.
1987 Portugal and the People's Republic of China sign an agreement in which Macau would be returned to China in 1999.	1987 - Portugal y la República Popular de China firmen un alcuerdu nel que Macau sedría retornáu a finales de 1999.
The most widespread local cult is located in Kashi, on the bank of the Ganges River.	El cultu local más estendíu asitiar en Kashi, na ribera del ríu Ganges.
Those who knew him maintained that "generous ardor", high-minded idealism and well meaning, though sometimes fanatical, enthusiasm rather than selfishness and jealousy, motivated his activities during this period.	Aquellos que lo conocieron sostienen que foi'l so «arrogante ardor», alto idealismu y benevolente, anque dacuando fanáticu, entusiasmu más que l'egoísmu y los celos, los que motivaron les sos actividaes mientres esti periodu.
He is Professor emeritus at the Universite libre de Bruxelles (ULB) where he is member of the Service de Physique Théorique.	Ye profesor eméritu de la Universidá Llibre de Bruxeles (ULB) na que ye miembru del serviciu de física teórica.
Its capital is Dover and its biggest city is Wilmington.	La so capital ye Dover, y la ciudá más poblada Wilmington.
Democratic Revolutionary Party	Partíu Revolucionariu Democráticu
c to oppose practices designed to discourage the use of regional or minority languages in connection with economic or social activities;	c) Refugar les práutiques empobinaes a desaniciar l’emplegu de llingües rexonales o minoritaries dientro de les actividaes económiques o sociales;
A competitive higher education requires fluency in other languages.	Una formación superior competitiva esix l'usu fluyíu d'otros idiomes.
Sparkling wines, which are mostly white, are wines where the carbon dioxide from the fermentation is kept dissolved in the wine and becomes gas when the bottle is opened.	Los vinos esplumosos, que son na so mayoría vinos blancos, son aquellos nos qu'el dióxidu de carbonu de la fermentadura caltiense disueltu nel vinu y conviértese en gas cuando s'abrir la botella, ufiertando una delicada espluma.
