In Ancient Greece, Olympia was sacred ground to the Greeks.	Olympia bola pre starých Grékov posvätným územím.
If this bleeding occurs for more than a few months, or if it begins after some months, your doctor must find out what is wrong.	Ak sa takéto krvácanie zjavuje dlhšie ako niekoľko málo mesiacov alebo ak začne po niekoľkých mesiacoch, Váš lekár musí zistiť, čo nie je v poriadku.
Anything else would not be sufficient.	Čokoľvek iné by nestačilo.
I’m a human being and I have value.	Ja som človek a mám svoju hodnotu!
That is why they have won great popularity and are among the most popular to date.	To je dôvod, prečo získali veľkú obľubu a patrí medzi najobľúbenejšie k dnešnému dňu.
I am also looking forward to the summer version of the Spartan Race. We want to organize it in Tatra Lomnica as two-day European Championships, with sprint on Saturday and beast on Sunday, “ added J.Candik.	Na letnú verziu Spartan Race sa už teraz teším, tú chceme zorganizovať v Tatranskej Lomnici ako dvojdňové podujatie majstrovstiev Európy, kedy sa v sobotu bude behať sprint a v nedeľu beast,“ dodal J. Čandík.
Our websites may also use cookies to target advertisement, remember login data, monitor traffic on the website and track the website performance for the purpose of pleasant user experience. The collection of those cookies is based on your consent given by your browser setting.	Naše internetové stránky môžu používať súbory cookie aj na zacielenie reklamy, zapamätanie prihlasovacích údajov, monitoring prevádzky na internetových stránkach a sledovanie výkonu internetových stránok s cieľom zaistiť používateľsky prívetivú skúsenosť. Zhromažďovanie týchto súborov cookie sa zakladá na vašom súhlase vychádzajúceho z nastavenia vášho prehľadávača.
Important details of LoyaBright Sex	Dôležité detaily používateľa LoyaBright Sex
Do it now, make your first order and get 10% discount for your 2nd purchase and use all the benefits of registered customer!	Urob tak teraz, objednaj a získaš 10% zľavu na 2. nákup a všetky výhody registrovaného zákazníka!
Changes in the anal veins are still reversible.	Zmeny v análnych žilách sú stále reverzibilné.
The evolution of an industry-standard with phenomenal comfort and performance 6 in stock	evolution priemyselného štandardu s fenomenálnym komfortom a výkonom 6 na sklade
Here's my card for this challenge.	Tu je moja pohľadnica k tejto výzve.
In applying the EAW, authorities have to respect the procedural rights of suspects or accused persons – such as the right to information, to have a lawyer, and an interpreter, and to legal aid as stipulated by law in the country where they are arrested.	Pri uplatňovaní zatykača musia orgány dbať o dodržiavanie procesných práv podozrivých alebo obvinených osôb – ako je napr. právo na informácie, právo mať právneho zástupcu a prípadne tlmočníka – stanovených právnymi predpismi v krajine, v ktorej boli tieto osoby zatknuté.
WE (the public) decide which option to follow.”	My (verejnosť) sa rozhodneme, ktorou možnosťou sa budeme riadiť. ”
Linoleum - the properties and characteristics of laying	Linoleum - vlastnosti a charakteristiky , ktorým sa
Charlie nodded at him.	Charlie sa na neho zahľadela.
'Canton' is the pronunciation of Cantonese where people speak here.	'Canton' je výslovnosť kantončiny, kde tu ľudia hovoria.
While it will take supraphysiological doses to obtain a true and notable transformation, thankfully the threshold for adverse effects remains very high.	Zatiaľ čo bude vyžadovať nadprsiologické dávky na získanie skutočnej a pozoruhodnej transformácie, našťastie prah na nepriaznivé účinky zostáva veľmi vysoký.
Those bodies may form part of existing bodies at national level which have similar objectives.	Tieto subjekty môžu byť súčasťou existujúcich subjektov, ktoré plnia podobné ciele na vnútroštátnej úrovni.
(b) establishments employing at least 20 employees in any one Member State.	prevádzky, ktoré zamestnávajú najmenej 20 zamestnancov v ktoromkoľvek členskom štáte.
We're huge fans.	Sme veľký fanúšikovia.
However, this unproven method may lead to many serious health problems, such as heart disease or even cancer.	Však táto nevyskúšané metóda môže viesť k mnohých vážnych zdravotných problémov, ako sú srdcové ochorenia alebo dokonca rakovinu.
That's what I admire in you, Samuel.	To je to, čo obdivujem vo vás, Samuel.
However, complete removal of the lymph nodes in melanoma causes quite serious side effects, one of which is lymphedema.	Avšak, Úplne odstránením lymfatických uzlín u melanómu spôsobuje pomerne závažné vedľajšia Účinky sa z ktorych JE jeden lymfedém.
This unusual phenomenon was repeated with Apollo 13 (intentionally commanding the third stage to impact the moon), with even more startling results.	Tento úkaz zopakovalo aj Apollo 13 (úmyselne naviedli tretí stupeň modulu k zrážke s Mesiacom), to spôsobilo ešte prekvapujúcejšie výsledky.
18:41 1 year ago	18:41 1 rok pred
China's economy has grown at its slowest pace in the past 27 years after the effects of President Donald Trump's trade war outweighed the Chinese government's efforts to stimulate the economy.	Čínske hospodárstvo za posledných 27 rokov rástlo najpomalším tempom po tom, čo účinky obchodnej vojny amerického prezidenta Donalda Trumpa prevážili nad úsilím čínskej vlády, pre stimuláciu ekonomiky.
Please stay seated.	Prosím ostaňte sedieť.
And we need both encouragement and challenging words.	A my potrebujeme obaja povzbudenie a náročné slová.
Do you hear me, chief?	počujete ma, veliteľ?
Believe it or not, our kids have a lot in common with these athletes.	Verte tomu alebo nie, naše deti majú veľa spoločného s týmito športovcami.
Sri Chinmoy: In life, fortunately or unfortunately, nothing is easy.	Sri Chinmoy: V živote nie je našťastie alebo nanešťastie nič jednoduché.
The streets in the center of town are home to several shops, galleries, cafes and restaurants.	Ulice v centre mesta sú domovom pre niekoľko obchodov, galérií, kaviarní a reštaurácií.
UT70A Digital Multi-Purpose Electric Bridge Multimeters Made in China - UT70A Digital Multi-Purpose Electric Bridge Multimeters Manufacturers - Huazheng Electric Manufacturing (Baoding) Co.,Ltd	UT70A digitálne viacúčelové elektrické mosty Multimetre vyrobené v Číne - UT70A digitálne viacúčelové elektrické mosty Multimetre Výrobcovia - Huazheng Electric Manufacturing (Baoding) Co, Ltd
I am so glad you found my words encouraging.	Som rada, že ste našli v mojich slovách povzbudenie.
Option 2: Single-criterion labelling scheme for passenger car tyres (C1 tyres) regarding fuel efficiency (RR), with minimum requirements on other parameters (wet grip and external rolling noise).	Možnosť 2: systém označenia s jedným kritériom pre pneumatiky osobných automobilov (trieda C1) v súvislosti s palivovou úspornosťou (RR), s minimálnymi požiadavkami na ďalšie parametre (priľnavosť za mokra a vonkajší hluk valenia)
-What was that?	- Čo?
B. Other New Entity Accounts.	B. Ostatné nové účty fyzických osôb.
- That can't be...	- To nemôže byť...
Overall condition of the vehicle 6.4 Ease of locating the Next Level rental desk or representative	Celkový stav vozidla 6.4 Jednoduchosť lokalizovania požičovne Next Level alebo ich reprezentanta
Light rain throughout the week.	Slabý dážď počas týždňa.
One is to believe in their existence.	Jedným z nich je neveriť v ich existenciu.
5 Users Online	7 užívateľov online
The Commission shall draw up an audit strategy and an audit plan which shall be based on a risk-assessment.	Komisia vypracuje pre členské štáty stratégiu auditu a plán auditu, ktorý je založený na posúdení rizika.
YouTonics Skin will aid you get the healthy, glowing skin you have always desired, while enhancing its gentleness, hydration as well as flexibility.	YouTonics vám pomôže získať zdravé a vyvážené, žiarivú pokožku ste neustále žiadaný, pri súčasnom zvyšovaní jej mäkké vlastnosti, hydratácia a tiež pružnosť.
– having regard to the declarations of the four Summits of Heads of State and Government of Latin America and the Caribbean and the European Union, held to date in Rio de Janeiro (28 and 29 June 1999), Madrid (17 and 18 May 2002), Guadalajara (28 and 29 May 2004) and Vienna (12 and 13 May 2006),	– so zreteľom na vyhlásenia zo šiestich samitov vedúcich predstaviteľov štátov a vlád krajín Európskej únie a Latinskej Ameriky a Karibiku, ktoré sa doposiaľ konali v Riu de Janeiro (28. a 29. júna 1999), Madride (17. a 18. mája 2002), Guadalajare (28. a 29. mája 2004), vo Viedni (12. a 13. mája 2006), v Lime (16. a 17. mája 2008) a Madride (18. mája 2010),
The hotel room was really nice and clean.	Hotelová izba bola skutočne krásna a čistá.
CX5013T IC CHIP Pulse Electronics Corporation Ask For Stock Quantity. RFQ	CX5063 IC CHIP Pulse Electronics Corporation Požiadať o množstvo zásob. RFQ
- less deterioration to the road network and a reduction in the need for new road infrastructures;	menej opotrebováva cestnú sieť a znižuje potrebu výstavby novej dopravnej infraštruktúry,
Company heads made big issue of Hansen being their first European.	Hlavy Firemné urobil veľkú otázkou Hansen bytia Ich prvý európsky.
Accession negotiations with Croatia were completed in June 2011, at which date the country met the access criteria.	Prístupové rokovania s Chorvátskom sa uzatvorili v júni 2011, keď krajina splnila prístupové kritériá.
And basically from my heart I really just want to say it should really be about the music, it should be about the craft that I’m making.	Z môjho srdca, naozaj len chcem povedať, že by to malo byť naozaj o hudbe, malo by to byť o remesle, ktoré točím.
Flag State - Country where the ship is registered.	Vlajkový štát, v ktorom je plavidlo registrované.
Pensacola is a sea port on Pensacola Bay, which is protected by the barrier island of Santa Rosa and connects to the Gulf of Mexico.	Mesto je prístavom v zátoke Pensacola Bay, ktorý je od vôd Mexického zálivu chránený ostrovom Santa Rosa.
Fun ways to beat the winter blues	Funny spôsobov , ako poraziť zimné blues
When a woman learns that she has breast cancer, her world is shattered.	KEĎ SA ŽENA DOZVIE, že ochorela na rakovinu prsníka, zrúti sa jej svet.
William Gilbert, also known as Gilberd, (1544–1603) was an English physician and a natural philosopher.	William Gilbert (1544 - 1603) bol anglický lekár zo 16. storočia a prírodný filozof.
The usual dose of Rasilez HCT is one tablet a day.	Zvyčajná dávka Rasilezu HCT je jedna tableta denne.
“David, Milo and I could not be happier.	David, Milo a ja nemôžeme byť šťastnejší.
Download the business card (vCard)	Stiahnuť vizitku (vCard)
Create a different (Administrator) user account and then install Acrobat.	Vytvorte iné používateľské konto (správcu) a potom nainštalujte aplikáciu Acrobat.
Example of the number of a certificate issued by Bulgaria for parts or equipment integrated in a vehicle type-approved according to Regulation (EU) No XXX/201X:	Príklad čísla osvedčenia vydaného Bulharskom pre časti alebo vybavenie integrované vo vozidle typovo schválenom podľa nariadenia (EÚ) č.
Pay your own electricity.	Platiť za vlastnú elektrinu.
9.1.8. to ensure that health professionals are trained and guided to provide medical, nursing and psychological care for any terminally ill or dying person in co-ordinated teamwork, according to the highest standards possible;	viii. zaistiť, aby zdravotnícki pracovníci boli školení a vedení tak, aby každému smrteľne chorému alebo umierajúcemu človeku mohli poskytnúť lekársku, ošetrovateľskú a psychologickú starostlivosť v koordinovanej tímovej spolupráci podľa najvyšších možných štandardov;
Article 11 of Directive 95/46/EC lists the minimum information to be provided by the data controller where data have not been obtained from the data subject.	V článku 11 smernice 95/46/ES sú uvedené minimálne informácie, ktoré má poskytnúť správca údajov v prípade, že údaje neboli získané od dotknutej osoby.
France 40 Full Details	France 40 Všetky podrobnosti
Who does not love watching the world from a bird’s eye view?	Kto by nechcel vidieť svet z vtáčej perspektívy?
beach walks, beaches and business are just a few reasons why travelers enjoy Ciudad del Carmen.	prechádzky na pláži, pláže a obchodníctvo sú len niektoré z dôvodov, prečo hostia milujú destináciu Ciudad del Carmen.
10 years of support (5 years Mainstream Support and 5 years Extended Support) at the supported service pack level for Business, Developer and Desktop Operating System products.	10 rokov podpory (minimálne 5 rokov bežnej podpory a minimálne 5 rokov rozšírenej podpory) na ﻿podporovanej úrovni balíka Service Pack ﻿pre podniky, vývojárov a produkty počítačových operačných systémov,
Any short-term measures must be supplemented by the adoption and, most important, the effective implementation of long-term strategic measures. For example, an adequate network of waste processing facilities fully complying with the standards laid down by Community legislation.	Akékoľvek krátkodobé opatrenia musia byť doplnené prijatím, a čo je najdôležitejšie, efektívnou realizáciou dlhodobých strategických opatrení, napríklad vytvorením primeranej siete zariadení na spracovanie odpadu, ktoré budú plne zodpovedať normám, stanoveným právnymi predpismi Spoločenstva.
WebsitePlay models website	WebstránkaPlay models webová stránka
Furthermore, tissue collection at additional time points may be needed to determine tissue distribution of the test chemical and/or its metabolites, to evaluate time dependency (if appropriate), to aid in establishing mass balance, and/or as required by a competent authority.	Okrem toho môže byť potrebný odber tkanív v iných časoch s cieľom určiť distribúciu testovanej chemikálie a/alebo jej metabolitov v tkanivách na účely posúdenia závislosti od času (ak je to vhodné), pomôcť pri stanovení hmotnostnej bilancie a/alebo vyhovieť požiadavkám príslušného orgánu.
You’ll see, everything will be okay.”	Uvidíš, všetko bude v poriadku."
New year, new phone.	Nový rok - nový telefón.
- We can change all that.	- Všetko to môžeme zmeniť.
Snow reports and powder alarms from Blue Mountain Resort straight to your mailbox!	Snehové správy a upozornenie na prašan zo strediska Blue Mountain Resort priamo do tvojho mailu!
What's deprecated or removed from SharePoint Server 2016	Čo je v SharePoint Serveri 2016 zamietnuté alebo odstránené
Configure Toolbars...	Konfigurovať panely nástrojov...
Progress is impossible without change, and those who can not change their minds can not change anything.	Pokrok je nemožný bez zmeny a tí, ktorí nevedia zmeniť svoju myseľ, nedokážu zmeniť nič.
Drinking alcohol during chemotherapy	Alkohol počas chemoterapie
the lunar Hijri calendar Muharram	lunárneho kalendára Hijra
Market-based instruments	Trhovo založené nástroje
In Part 1 of Annex I to Regulation (EC) No 798/2008 after the entry for the United States concerning the State of Indiana the following is added:	V časti 1 prílohy I k nariadeniu (ES) č. 798/2008 sa za položku US – Spojené štáty americké týkajúcu sa štátu Indiana dopĺňa toto:
It seems there is heavy bleeding inside his stomach.	Zdá sa, že v bruchu došlo k ťažkému krvácaniu.
This is the reason that testosterone booster capsules are preferred currently.	To je dôvod, prečo sú preferované v súčasnosti testosterón booster kapsule.
Civil rights organization #NewEuropeans to receive #SchwarzkopfEuropeAward in Berlin	Organizácia pre občianske práva #Noví Európania dostanú #SchwarzkopfEuropeAward v Berlíne
Danish legislators passed the law presented by Denmark’s centre-right governing coalition last May.	Zákon, ktorý navrhla stredo-pravá vládna koalícia, schválili dánski poslanci v máji.
How much does a Kriptomat digital wallet cost? | Kriptomat Help	Koľko stojí virtuálna Kriptomat peňaženka? | Kriptomat Help
Fast Delivery: Samples from stock to your destination within 10 days;	Rýchle dodanie: Vzorky zo skladu do cieľa do 10 dní;
Only one of them, Zdeněk Taussig, remained in Terezín until its liberation in May 1945.	Iba jeden z nich, Zdeněk Taussig, zostal v Terezíne až do jeho oslobodenia v máji 1945.
Because your files are stored online, you can share with people in or outside your company, from wherever you’re working, whenever you need to.	Keďže súbory sú uložené online, môžete ich navyše kedykoľvek a odkiaľkoľvek zdieľať s ľuďmi vo svojej spoločnosti aj mimo nej, bez ohľadu na to, odkiaľkoľvek pracujete a kedykoľvek to potrebujete.
These browser hijackers do not directly jeopardize one’s OS but the possibility of bumping into malware increases.	Tieto prehliadač únos nie sú priamo ohroziť niečí OS, ale možnosť narážať na malware zvyšuje.
To sum it up, Gynexin is proven to be a perfect health care cure for Gynecomastia treatment, in other words.	Keby sme mali zhrnúť podstatné, Gynexin je preukázané, že byť perfektné zdravotnej starostlivosti liek na liečbu gynekomastia, inými slovami.
Sales prices are based on so-called technical values (costs of new buildings with deductions for age and usage) and not on established market rent.	Predajné ceny sú založené na takzvaných technických hodnotách (náklady na nové budovy s odrátaním z dôvodu veku a opotrebovania) a nie na zavedenom trhovom nájomnom.
However, in the interest of maintaining clarity and predictability in the multilateral trading system, the EU needs to be able to proceed unilaterally to the dividing up of tariff rate quotas for the period between the UK’s withdrawal from the EU and the conclusion of a final agreement within the WTO.	Avšak v záujme zachovania zrozumiteľnosti a predvídateľnosti v multilaterálnom obchodnom systéme musí byť EÚ schopná jednostranne pristúpiť k rozdeleniu colných kvót na obdobie medzi odchodom Spojeného kráľovstva z EÚ a uzatvorením konečnej dohody v rámci WTO.
Virginia foreclosure listings are quickly becoming a source of real estate bargains for smart real estate investors. What was once limited to those "in the know", is now becoming a more common practice. The "new" real estate investor is now scouring the market, which includes foreclosures for the best deal on the market.	Virginia uzavretí výpisy sú rýchlo stáva zdrojom realitných obchodov pre smart Realitná investori. Čo bolo potom obmedzené na tie "v vedieť", sa teraz stáva viac bežnou praxou. "Nové" real estate investor je teraz pranie na trhu, ktorý zahŕňa foreclosures pre najlepšiu ponuku na trhu.
More people suffer from allergy today than ever before.	Alergiami trpí viac ľudí než kedykoľvek predtým.
Links to other websites and social media	Odkazy na iné webové stránky a sociálne médiá
After prior approval at the Scientific Council of the relevant Faculty of SUA in Nitra, the scientific and pedagogical title "associate professor" was awarded to: assoc. prof.	Po predchádzajúcom schválení vo Vedeckej rade príslušnej fakulty SPU v Nitre, bol vedecko-pedagogický titul docent priznaný: doc.
Finishing relationships in which you love someone may be one of the most difficult things. You may have real fear of loneliness, fear of not finding someone who can love you.	Dokončenie vzťahov, v ktorých milujete niekoho, môže byť jednou z najťažších vecí. Môžete mať skutočný strach zo samoty, strach z toho, že nenájdete niekoho, kto vás môže milovať.
4.9 The EESC suggests that a period of unemployment of six months be considered, in order to comply with international agreements and make it easier for workers to find new employment.	4.9 Výbor navrhuje stanoviť túto lehotu na dobu šiestich mesiacov s cieľom dodržať ustanovenia medzinárodných dohovorov a umožniť pracovníkom, aby znovu získali prístup k zamestnaniu.
Plus he has abs like Bruce Lee.	Plus má biceps ako Bruce Lee.
relevant price and data feeds and information of composition, methodology and pricing of benchmarks for the purposes of clearing and trading; and	príslušným údajom o cenách a iným údajom a informáciám o zložení, metodike a stanovovaní ceny danej referenčnej hodnoty na účely zúčtovania a obchodovania; a
According to the FAO, food losses occur at the start of the food chain (primary production, post-harvest and processing stages) whereas food waste is observed at the end of the chain (distribution and end consumer stages).	Podľa definície Organizácie OSN pre výživu a poľnohospodárstvo (FAO) potravinové straty vznikajú na začiatku potravinového reťazca (prvovýroba, vo fáze po zbere úrody a pri spracovaní), zatiaľ čo plytvanie potravinami sa skôr zaznamenáva na konci reťazca (fáza distribúcie a končenej spotreby).
She described her disciplinary hearing as “hopelessly one-sided because they put my accuser's claims to me as fact, without any forewarning and so I wasn't prepared.	Disciplinárne vypočúvanie opísala ako „beznádejne jednostranné, pretože tvrdenie mojej žalobkyne predo mňa predložili ako fakt, bez akéhokoľvek varovania a vôbec som na to nebola pripravená.
Apartments Bibinje, Zadar 5800 is offering a tastefully furnished room to those … Full description	Apartments Bibinje, Zadar 5800 ponúka komfortnú čistú izbu pre tých, ktorí hľadajú … Celý popis
Canon 147 - Inside the territorial boundaries of the patriarchal Church, the power of the patriarch and the synods is exercised not only over all Christian faithful who are enrolled in that Church, but also on others who do not have a local hierarch of their own Church sui iuris constituted in the same territory and, even if they remain enrolled in their own Church, are committed to the care of local hierarchs of that patriarchal Church with due regard for can.	147 - V hraniciach územia patriarchálnej cirkvi moc patriarchu a synod je vykonávaná nielen nad všetkými veriacimi v Krista zapísanými do tejto cirkvi, ale aj nad ostatnými, ktorí na tomto území nemajú ustanoveného miestneho hierarchu vlastnej cirkvi sui iuris a ktorí hoci zostávajú zapísaní do vlastnej cirkvi, sú zverení starostlivosti hierarchov tejto patriarchálnej cirkvi, pri zachovaní kán.
As with other non-steroidal, anti-inflammatory drugs (NSAIDs; eg, ibuprofen or diclofenac), this medicine may lead to an increase in blood pressure, and so your doctor may ask to monitor your blood pressure on a regular basis.	Tak ako pri iných nesteroidových, protizápalových liekoch (NSAID, napríklad ibuprofén alebo diklofenak), tento liek môže viesť k zvýšeniu krvného tlaku a Váš lekár Vás môže požiadať o pravidelné monitorovanie Vášho krvného tlaku.
To help you find the perfect room when you book a hotel in Horní Rožínka, Czech Republic we have made it easy for you to compare hotels, including our most popular hotel chains.	Aby sme vám pomohli nájsť skvelú hotelovú izbu v ubytovacom zariadení v destinácii Horní Rožínka, Česká republika, uľahčili sme vám porovnávanie jednotlivých hotelov, vrátane obľúbených reťazcov.
They heard I was good they wanna see if it's true	Počuli, že som dobrá, chcú vedieť, či je to pravda
Women, more than men, are prone to “I Like Whatever You Like”-Syndrome (maybe due to lingering cultural expectations that women are supposed to be the flexible, amorphous ones lacking their own interests), ultimately resulting in an unsatisfactory and unfulfilling relationship at best; and surprises, wasted time and anger at the other person having “changed”, at worst.	Ženy, viac ako muži, sú náchylné na “Sa mi páči, čo chcete”-Syndróm (Možno, že v dôsledku pretrvávajúcej kultúrne očakávania, že ženy majú byť flexibilné, amorfný tie nemajú vlastné záujmy), čo v konečnom dôsledku v nevyhovujúcom a nájsť naplnenie vzťahov v najlepšom; a prekvapenie, stratený čas a hnev na inú osobu, ktorá má “zmenilo”, v najhoršom prípade.
Council Regulation (EC) 2964/95 of 20 December 1995 introducing registration for crude oil imports and deliveries in the Community.	Nariadenie Rady (ES) č. 2964/95 z 20. decembra 1995, ktorým sa zavádza evidencia dovozov a dodávok ropy v Spoločenstve (Ú. v.
3. Good after sales service. Overseas service for installation and debugging and problem consult.	3. dobré popredajný servis. Zámorské služba inštalácie a ladenie a problém konzultovať.
I and my husband feel better about ourselves.	Cítime sa ja a môj manžel opravdu lepšie.
Of course, you can either go to night school or or day school, but if you’ve got a hectic home and work life to juggle, night college represents an ace place to meet like-minded guys.	Samozrejme, môžete buď ísť na noc školy alebo deň v škole, ale ak máš hektický domov a pracovného života sa žonglovať, noc college predstavuje eso miesto pre stretnutie rovnako zmýšľajúcich ľudí.
I must say that I never understood that.	Musím povedať, že som tomu nikdy nerozumela.
Coefficient of correlation:	Koeficient korelácie:
Measuring and optical instruments - stará Ľubovňa - edb.sk	Meracie a optické prístroje - stará Ľubovňa - edb.sk
It keeps women safe.	Ženám dáva bezpečie.
What are his driving needs?	Aké sú jeho prevádzkové potreby?
At the age of 18 he moved to New York City attended Parsons School of Design.	Vo veku 18 rokov sa presťahoval do New Yorku za účelom štúdia Parsons School of Design.
Administer 20-25 ml of saline solution into the epidural space.	Aplikuje 20-25 ml fyziologického roztoku do epidurálneho priestoru.
You need simple and effective solutions that don't cost an arm and a leg that you know are guaranteed to work and that will truly make you into the spectacular lover that you want to be and that your partner deserves.	Potrebujete jednoduché a účinné riešenie ktoré nestojí ruku a nohu, ktoré poznáte sú garantované do práce a že naozaj bude vás do veľkolepé milovník chcete byť a že si zaslúži váš partner.
television broadcasting services covered by point (e) of Article 1(1) of Directive 2010/13/EU of the European Parliament and of the Council (6).	služby televízneho vysielania, na ktoré sa vzťahuje článok 1 ods. 1 písm. e) smernice Európskeho parlamentu a Rady 2010/13/EÚ (6).
Since Windows-compatible drivers get written by the hardware makers, Microsoft doesn’t have to write them; in effect, the hardware makers are adding new components to Windows, making it a more capable OS, without charging Microsoft for the service.	Pretože systém Windows ovládače kompatibilné si napísala chcú výrobcovia hardvéru, Microsoft nebude mať na napísanie; v platnosti, hardvér tvorcovia sú pridanie novej súčasti systému Windows, čo je viac schopný OS, bez poplatkov Microsoft pre službu.
Any beneficiary of a grant shall keep at the Commission’s disposal for a period of five years following the final payment all supporting documents on the expenditure incurred.	Každý prijímateľ grantu uchováva podporné dokumenty o vynaložených výdavkoch päť rokov od záverečnej platby, aby boli k dispozícii Komisii.
If you want to be sure your text is easily readable, use white text on a dark background.	Ak chcete zabezpečiť, aby bol text dobre čitateľný, použite biely text na tmavom pozadí.
For this reason, information is not always passed on and has to be reproduced in other Member States, thus reducing the efficiency of market surveillance at Community level.	Z tohto dôvodu sa informácie nie vždy posunú ďalej a v iných členských štátoch sa musia ešte raz získať, čím sa znižuje účinnosť dohľadu nad trhom na úrovni Spoločenstva.
For example, when Lassie came out in 1943 there was a 40% increase in collie registrations during the following two years.	Napríklad po odvysielaní filmu Lassie sa vracia v roku 1943 narástli registrácie kólií za dva roky až o 40 percent.
We’ve managed to escape.	Podarilo sa nám utiecť.
Thanks to such a device, the saw blade will move more smoothly over the surface, which will ensure an even cut of any surface.	Vďaka takémuto zariadeniu sa pílový kotúč plynule pohybuje po povrchu, čo zabezpečí rovnomerný rez akéhokoľvek povrchu.
"Somebody is using illegaly one of my images for anti Syrian propaganda on the BBC web site front page.	"Niekto protizákonne použil moju fotografiu na protisýrsku propagandu na titulke BBC webstránky.
providing consent to the purpose of processing the personal data by the customer.	poskytnutie súhlasu s účelom spracovania osobných údajov zákazníkom.
April 2005 Microsoft released Windows XP Professional x64 Edition	* apríl 2005, Microsoft uvoľnil Windows XP Professional x64 Edition
And if there was one cause for hope,	A keby bol jeden dôvod mať nádej,
