Nothing serious in this case because I would not have started before anyway.	Ничего серьезного в этом случае, потому что я не был бы в любом случае, прежде чем началась.
“First” and “Second” is the first and second voltage of the tested transformer.	«Первое» и «Второе» - это первое и второе напряжение проверяемого трансформатора.
Married son or daughter of any age.	Сына или дочь любого возраста, состоящих в браке
Since then, Alon Livne regularly presents her collections at MBFW in new York, and his wedding line Alon Livne White has become a must-have for many brides.	С тех пор Алон Ливне регулярно представляет свои коллекции на MBFW в Нью-Йорке, а его свадебная линия Alon Livne White стала must have для многих невест.
2.the members of the Government other than the Prime Minister;	Членами Правительства, кроме Премьер-министра;
In addition, the OHSAS 18001 standard is compatible with standards for other management systems, such as the standard for the environmental management system ISO 14001 and the standard for the quality management system ISO 9001, following the PDCA approach.	Кроме того, стандарт OHSAS 18001 совместим со стандартами на другие системы менеджмента, такими как стандарт для системы экологического менеджмента ISO 14001 и стандарт для системы менеджмента качества ISO9001, следуя подходу PDCA.
hygienic, architectural and artistic, etc.	санитарно-гигиенические; архитектурно-художественные и т. д.
We support customer R&D. Make the files or improve the design	Мы поддерживаем НИОКР клиента. Сделайте файлы или улучшите дизайн
What rights do complainants &apos; lawyers have to cross-examine defendants and witnesses?	Какими правами наделены адвокаты истцов для проведения перекрестных допросов обвиняемых и свидетелей?
They like this system.	Им нравится эта система.
This is why we do not advise giving them money.	Именно поэтому мы не рекомендуем давать им деньги.
Three or four months later, I already knew this was the man I needed,” Lyudmila recalls.	Спустя три-четыре месяца я уже решила, что он именно тот человек, который мне нужен», — вспоминает Людмила.
Consultative Council of European Judges, Opinion No. 2 (2001) on the funding and management of courts with reference to the efficiency of the judiciary and to article 6 of the European Convention on Human Rights, para.	— Заключение N 2(2001) Консультативного совета европейских судей о финансировании и управлении судами в свете эффективности судебной власти и статьи 6 Европейской Конвенции о защите прав человека и основных свобод.
You can promptly work out who you believe you'd like to converse to, and then over the route of the trip, others could surprise you.	Вы можете быстро определить, с кем, по вашему мнению, вы хотели бы поговорить, а затем в ходе поездки другие могут вас удивить.
Although supermassive black holes are expected to be found in most AGN, only some galaxies’ nuclei have been more carefully studied in attempts to both identify and measure the actual masses of the central supermassive black hole candidates.	Хотя суперкрупные черные дыры, как ожидают, будут найдены в большей части AGN, ядра только некоторых галактик были более тщательно изучены в попытках и определить и измерить фактические массы центральных суперкрупных кандидатов черной дыры.
Don’t worry if a child stops eating for a day or two.	Не беспокойтесь, если ребенок перестанет есть в течение дня или двух.
good atmosfera to work	Хорошая атмосфера для работы
Natalya Yamshchikova	Наталья Ямщикова
“Based on mutual cooperation between Saudi Arabia and the United States of America, and their desire to enhance everything that could preserve the security of the region and its stability … King Salman gave his approval to host American forces,” a ministry spokesman was quoted by Saudi state news agency SPA as saying.	«Основываясь на взаимном сотрудничестве между Саудовской Аравией и Соединенными Штатами Америки, и их решимости улучшить все, что может сохранить безопасность региона и его стабильность,... король Салман дал свое разрешение на размещение американских сил», – процитировало агентство слова пресс-секретаря министерства Саудовской Аравии.
If she gets better, I'll let you know.	Если ей станет лучше, я вам сообщу.
For 1.6-year course: OCTOBER The first Monday of every month THE FIRST MONDAY OF JULY	Курс 1.6 года - ОКТЯБРЬ Первый понедельник каждого месяца Первый понедельник июля
For instance, Childs and her group showed in 2008 that study participants with a particular SNP in ADORA2A began feeling anxious after consuming only 150 mg of caffeine.	Например, в 2008 году Э.Чайлдс с группой сотрудников выявили, что у участников эксперимента с SNP в ADORA2A возникает чувство тревоги после употребления лишь 150 мг кофеина.
Lastly, the Sub—Commission requested the Special Rapporteur to submit specific recommendations on how this question should be addressed in future. See resolution 1996/30 of the Sub—Commission and decision 1997/110 of the Commission on Human Rights.	Кроме того, Подкомиссия просила Специального докладчика представить конкретные рекомендации о том, каким образом этот вопрос следует рассматривать в будущем См. резолюцию 1996/30 Подкомиссии и решение 1997/110 Комиссии по правам человека.
He is the author of numerous books and publications on east European Jewish history.	Автор ряда книг и публикаций по истории Катастрофы европейского еврейства.
If anyone has a better solution…	Если у кого-нибудь есть вариант получше,
In Transport Category 1, Class 3 add: 1921, 2481 and 3165	В транспортную категорию 1 включить: &quot; 1921, 2481 и 3165 &quot; для класса 3
Our station is opposite the first entry on Valdevaqueros beach.	Наша станция находится напротив въезда на пляж Valdevaqueros.
The purpose of this short-term research and educational program is to improve skills of young university professors, researchers and graduate students.	Цель данной краткосрочной научно-образовательной программы - повышение квалификации молодых преподавателей вузов, молодых научных сотрудников и аспирантов.
Handy Backup 5.3 with new "Rebind" function	Handy Backup 5.3 с новой функцией "Rebind"
Forgot Password?	Запомнить меня Забыли Пароль?
Key features:	Ключевые признаки:
In Ashdod, Israel’s sixth largest city, the new system was especially effective, Nitzan said.	В Ашдоде, шестом по величине городе Израиля, новая система была особенно эффективной, сказал Ницан.
2. Requests the Secretary-General to take the necessary steps to implement this resolution.	2. просит Генерального секретаря принять необходимые меры для обеспечения выполнения настоящей резолюции.
- free warranty replacement;	- бесплатная гарантийная замена;
“When we get more ‘E’ we can hopefully get more ‘m’ [mass] stuff coming out,” continued Thompson, pointing out that the increased energy will allow not only more mass but also heavier particles — the kind of particles that may prove the existence of dark matter.	«Повышая 'E', мы рассчитываем получить больше 'm', то есть массы вещества на выходе», — продолжил Томпсон, добавив что увеличение энергии позволит получить более тяжелые частицы, то есть именно те, которые могут доказать существование темной материи.
In June 2002, the heads of the SCO member states met in St. Petersburg, Russia.	В июне 2002 года главы государств-членов ШОС встретились в Санкт-Петербурге, Россия.
In 2015, an American art historian, Andrew Tallon, climbed Notre Dame with a tripod-mounted laser to create a precise digital model of the building.	В 2015 году американский искусствовед Эндрю Тэллон поднялся на Нотр-Дам, чтобы создать точную цифровую модель здания при помощи специального лазерного измерителя.
(Article 1, United Nations Convention on the Rights of the Child)	(Статья 1 Конвенции о правах ребенка)
In order to provide first aid at home, it is necessary to conduct a number of procedures aimed at on the elimination of pain in a person and prevention of infection of the damaged skin area:	Для того чтобы оказать первую помощь в домашних условиях, необходимо провести ряд процедур, направленных на устранение болевых ощущений у человека и предотвращение заражения поврежденного участка кожи:
mood : pleased	Настроение: pleased
It's not so much that iron ore prices or volumes are expected to shift dramatically in the coming months, it's more that structural changes in the world's biggest importer, China, are re-shaping how the industry works.	Это не так много, что цены на железную руду или объемы, как ожидается, резко сдвинутся в ближайшие месяцы, более того, структурные изменения крупнейшего в мире импортера Китая реинжинируют, как работает отрасль.
It is led today by Alexander Lukashenko, a man considered to be Europe's last dictator.	Его возглавляет сегодня Александр Лукашенко, человек, которого считают последним диктатором Европы.
It adds to what we have.”	Это дополнит то, что у нас есть".
In some countries, increased efforts were being made to inform youth, parents and mentors of the harmful effects of ATS.	В некоторых странах расширяются усилия, направленные на по-вышение осведомленности молодежи, родителей и педагогов о вредных последствиях употребления САР.
sexual slavery "A person stands a better chance of being tried and being judged for killing one person than for killing 100,000 people."	«У человека больше шансов попасть под суд и быть осужденным за убийство одного человека, чем за убийство 100 000 человек».
2001 and before	2001 год и ранее
- The main purpose of the survey women - to follow all the stages of formation, maturation and release of the egg, ready to be fertilized.	- Основная цель обследования женщин - проследить все этапы образования, созревания и выхода яйцеклетки, готовой к оплодотворению.
I know you are an extremely busy man.	Я знаю, что вы крайне занятой человек.
The structure of the programme is as follows:... [-]	Структура программы следующая:... [-]
5.12 The member acknowledges and accepts that each member is solely responsible for observing the applicable laws and regulations in their respective jurisdictions to ensure that all use of the site and services comply with them.	5.12Member признает и соглашается с тем, что каждый Участник несет единоличную ответственность за соблюдение применимых законов и нормативных актов в своих соответствующих юрисдикциях для обеспечения того, чтобы все использование Сайта и Сервисов соответствовало им.
It was quite a thrill!”	Это была великая радость!"
As a determinative, it is not pronounced, and is conventionally transliterated as a superscript “D” as in e.g. DInanna.	В качестве детерминатива он не произносится и транслитерируется как надстрочное «D», например, DInanna.
100,000 units of the base currency of a currency pair you are buying or selling.	100,000 единиц базовой валюты в валютной паре, которую вы покупаете или продаете.
Anyways, we approve Toyota and recommend you to have it considered as your BOV choice.	В любом случае, мы одобряем Toyota и рекомендуем вам рассматривать ее как BOV.
Strength of character, education, morality, social life, health and caring for our elders are all fundamental questions to be revised and improved during the pivotal period.	Сила характера, образование, нравственность, общественная жизнь, здоровье и заботы о наших семьях являются фундаментальными вопросами, которые необходимо пересмотреть и улучшить в течение этого ключевого периода.
(d) Adoption of new codes - the Criminal Code, the Code of Criminal Procedure and the Code of Military Justice - bills on which have been tabled in the National Assembly (last quarter of 2009);	d) принять новые кодексы: Уголовный кодекс, Уголовно-процессуальный кодекс и Кодекс военной юстиции, проекты которых находятся на рассмотрении в Национальном собрании (последний квартал 2009 года);
- We're going on a mission!	- У нас миссия!
Vincent Laforet	Винсент Лафорет
We are frequently dissatisfied with our lives.	Мы зачастую бываем недовольны своей жизнью.
In April the fund agreed to lend Kiev $17 billion over two years, in return for an austere budget and reforms to curb corruption.	В апреле фонд согласился предоставить Киеву 17 миллиардов долларов в течение двух лет, в обмен на строгую бюджетную экономию и борьбу с коррупцией.
Adherence to traditions of good teamwork, laborious and humane nature of Rosselkhozbank's brand draws its inspiration from nature, traditions, history.	Приверженность к традициям доброй и коллективной работы, трудолюбивый и человечный характер бренда Россельхозбанка находит свое вдохновение в природе, традициях, истории.
The author comes to the conclusion that the ideological basis of Ukrainian geopolitical thought is integrative nationalism.	Автор приходит к выводу, что идеологической основой украинской геополитической мысли является интегральный национализм.
We offer customized solutions to all our clients in a wide range of industries.	Мы предлагаем индивидуальные решения каждому клиенту в самых разных отраслях промышленности.
The Kazakhstan insurance market is practically an undeveloped sector of the economy, in our country, not everyone is covered by insurance protection, - they sum up in SAC.	Казахстанский рынок страхования - это практически неосвоенный сектор экономики, у нас в стране страховой защитой охвачены далеко не все, - резюмируют в ГАК.
In December last year, Col. Vladimir Drik, representing the Ministry of Defence for the Air Force, said that by 2020, at the disposal of the Air Force received about 60 modernized MiG-31.	В декабре прошлого года полковник Владимир Дрик, представляющий Министерство обороны РФ по ВВС, сообщил, что к 2020 году в распоряжение Военно-воздушных сил поступят около 60 модернизированных МиГ-31.
Belarus’ Deputy Prime Minister Igor Lyashenko noted that last week he saw a tractor fitted with an electric drive.	В свою очередь вице-премьер Игорь Ляшенко доложил, что буквально на прошлой неделе смотрел трактор, который также оснащен электроприводом.
The Protocol contains no specific restrictions on hand-emplaced MOTAPM.	Протокол не содержит специфических ограничений на НППМ ручной установки.
The flow of tourists to these “attractions” does not cease for several centuries.	Поток туристов к этим «достопримечательностям» не иссякает вот уже несколько веков.
You possibly can concentrate on retail businesses and keep your clients clumped into one or two blocks.	Вы можете сосредоточиться на розничной торговле и держать ваши клиенты слипаются в один или два блока.
Multilingual Wikisource has original text related to this article:	Latin Wikisource имеет оригинальный текст , связанный с этой статьей:
Yes (for Free)	Да (бесплатно)
Under certain conditions, Apple Pay comes in the top five most common online payment services	При определённых условиях Apple Pay выходит в пятёрку самых распространённых онлайновых платёжных сервисов
Jews were accorded at least partial protection by such monarchs as Augustus II (in 1713), and Stanisław August Poniatowski (in 1776), as well as Michał Radziwiłł, the wojewoda (voivod; provincial governor) of Vilna, and bishops Konstanty Brzostowski and Ignacy Massalski.	Евреям была предоставлена по крайней мере частичная защита королями Августом II (в 1713 году) и Станиславом Августа Понятовским (в 1776 году), а также Михалом Радзивиллом, воеводой Вильно, и епископами Константином Бжостовским и Игнацием Массальским.
Websites in the category News & Media. Page 1	Веб сайты в категории Новости и СМИ. Страница 1
And then... by the time I... we gained control, got myself back...	А потом .. когда я... вернул контроль... пришел в себя...
How to Plan and Implement Business Process Improvement	Как спланировать и осуществить совершенствование бизнес-процессов.
From 27 to 30 April 2017, Transnistria hosted the documentary film festival CHESNOK 2017.	С 27 по 30 апреля в Приднестровье прошел фестиваль документального кино ЧЕСНОК 2017.
Average rating - 83 reviews	Средний рейтинг - 67 отзывы
Name (minimum 5 characters):	Имя (минимум 5 знаков)
The legal system of Singapore has its foundations in the English common law system, but modifications have been made to it over the years, such as the removal of trial by jury.	Правовая система Сингапура имеет свои фонды в английской системе общего права, но изменения были внесены в нее в течение многих лет, как то удаление практики созыва суда присяжных .
To rent an arbor for rest - to give yourself and your relatives a great time at affordable prices.	Снять беседку для отдыха – подарить себе и своим близким прекрасное время проведение по доступным ценам.
In the summer of 1969, before the dissolution of the most popular music group of all time, George Harrison produced a hit single, “The Hare Krsna Mantra,” which he recorded with the devotees of the London Radha-Krsna Temple.	Летом 1969 года, еще до распада самой популярной музыкальной группы всех времен, Джордж Харрисон выпустил в свет хит-сингл «The Hare Krishna Mantra», где пел он сам, а также преданные лондонского храма Радха-Кришны.
While in the UK most people back at work on January 5th and everyone has already made (and at least in my case, broken) their New Year resolutions, in Spain everyone is gathering to celebrate the main ceremony of the year.	В то время как в Великобритании большинство людей выходят на работу 5 января, и все уже воплотили (и по крайней мере в моем случае с переменчивым успехом) свои новогодние планы, в Испании все собираются, чтобы отпраздновать главную церемонию года.
I have seen your series about the Scandinavian countries, and can announce that it has been received without hysteria in Sweden.	Я видел Ваш сериал о скандинавских странах и могу сообщить, что он был воспринят без истерии в Швеции.
“We cannot take a position in this conflict.”	«Мы не можем в данном конфликте встать на одну из сторон»
Such a system provides an efficient means for transferring and sharing information across many different functions of the Organization, rather than having to maintain parallel versions of that information in multiple unique systems.	Такая система обеспечивает эффективные средства передачи информации и обмена ею в рамках многих различных функций Организации, а не заниматься составлением параллельных вариантов такой информации в рамках многочисленных специфических систем.
Water, one dollar.	Вода, один доллар
In most cases, they were the first and second degree of severity and were manifested, mainly, during the first 6 weeks of treatment with Sorafenib 200 mg.	В большинстве случаев они были 1 и 2 степени тяжести и проявлялись, главным образом, в течение первых шести недель лечения сорафенибом.
The Assembly decided to conclude its consideration of sub-item (a) of agenda item 94.	Ассамблея постановила завершить рассмотрение подпункта (а) пункта 94 повестки дня.
Question: What is this website all about?	Вопрос: что ты хочешь вообще от этого сайта?
"As we approach the last crisis, it is of vital moment that harmony and unity exist among the Lord's instrumentalities.	«По мере нашего приближения к последнему кризису весьма важно, чтобы среди сотрудников Господних сохранялся дух согласия и единства.
This requires the training of more community health workers, nurses, midwives, physicians, social scientists and educators, the education of mothers, families and communities and the strengthening of ministries of education, health, population etc.	Это требует подготовки большего числа общинных медицинских работников, медсестер, акушерок, терапевтов, социологов и преподавателей, а также проведения просветительской деятельности среди матерей, семей и общин и укрепления министерств по вопросам образования, здравоохранения населения и т.д.
Selectabie 4*4 All Terrain Vehicle	Selectabie 4 * 4 вездеход
The population is 19 million.	Численность населения 19 млн. человек.
Day of Israel in Lviv: the anthem performed by a children’s choir, national dances and songs in Yiddish	День Израиля во Львове: гимн в исполнении детского хора, национальные танцы и песни на идиш
This is an important point, given that the economic reforms implemented by former Soviet president Mikhail Gorbachev and former Russian president Boris Yeltsin thus confronted powerful headwinds.	Это важный момент, учитывая, что экономические реформы, осуществленные бывшим советским президентом Михаилом Горбачевым и бывшим президентом России Борисом Ельциным, в сложившихся обстоятельствах столкнулись с мощными встречными ветрами.
Administrative execution, or administrative-executive actions , as a special and specific form of management activity - is the implementation of laws, as well as regulatory and individual (non-normative) those or other legally significant administrative actions that are not individual legal acts of management.	Административное исполнительство, или административноисполнительские действия как особая и специфическая форма управленческой деятельности есть исполнение законов, а также нормативных и индивидуальных ненормативных актов управления путем совершения тех или иных юридически значимых административных действий, не являющихся индивидуальными правовыми актами управления.
Legal steroids can help you continue to gain muscle and achieve your long-term goals even during these times.	Юридические стероидов может помочь вам получить мышцы и достижения долгосрочных целей даже в эти времена.
Gaziza Kumakbayeva was awarded the title of winner of the final for the result of 02 hours 30 minutes and 42 seconds.	Газиза Кумакбаева удостоилась звания победительницы финала за результат 02 часа 30 минут и 42 секунды.
5. Style as your design	5. стиль как ваш дизайн
And this is the second stage of the progression of the deviation.	И это уже второй этап прогрессирования отклонения.
We ask God our Father to guide us, in the times and by the means that the Holy Spirit will choose, to full unity in the mystical Body of Christ.	Мы просим Бога, нашего Отца, привести нас – в то время и теми способами, которые изберет Святой Дух, – к полному единству в таинственном Теле Христа.
Waiting for a new model of growth: Russia’s social and economic development in 2013.	В ожидании новой модели роста: социально-экономическое развитие России в 2013 году Автор
Two years later, in 2010, Iraq nominated Muhammad Al-Ulum to become the first Iraqi Ambassador to Kuwait since 1990.	В 2010 году Ирак выдвинул кандидатуру Мухаммеда аль-Улума на должность первого посла Ирака в Кувейте с 1990 года[2].
With high-performance lithium battery, continuous working time 5-6 hours,no need external power	С высокопроизводительной литиевой батареей, время непрерывной работы 5-6 часов, нет необходимости внешнего питания
The film tells about the American rock band "Cinderella", her tour in Moscow, which were arranged in support of the "Make a choice", dealing with the problems of drug addiction and alcoholism.	Фильм рассказывает об американской рок-группе "Синдерелла", о ее гастролях в Москве, которые были устроены в поддержку организации "Сделай иной выбор", занимающейся проблемами наркомании и алкоголизма.
In May 1806 his pages were given the definition: “Cocktail is a stimulating beverage, consisting of various fast-alcoholic beverages, sugar and bitter liqueurs’.	В мае 1806 года на его страницах было дано определение: «Коктейль представляет собой стимулирующий напиток, состоящий из различных крепкоалкогольных напитков, сахара и горьких настоек».
It is located at 33 Liberty Street, New York, New York.	Расположен на 33 Либерти-стрит, Нью-Йорк.
BSC provides the service of training, which will undoubtedly improve your skills and your employees:	BSC предоставляет услугу проведения тренингов, что несомненно повысит Вашу квалификацию и ваших сотрудников:
A distinctive characteristic of finite mathematics related to problems involving finite structures is that, usually, solution algorithms exist for several of these problems, whereas in classical mathematics a whole solution of the issue is often possible only under extremely stringent restrictions.	Особенностью Конечная математика, связанной уже с задачами для конечных структур, является и то, что для многих из этих задач, как правило, существует алгоритм решения, в то время как в классической математике полное решение задачи часто возможно лишь при весьма жёстких ограничениях.
To plan and to carry out the yacht’s itinerary in such a manner as to reach the port of call farthest away from the point at which the yacht must be returned to the Owner (Turn- Around Point) within the first one-third (1/3) of the charter period and that two days prior to the termination of the charter the yacht’s port of call shall lie at a distance not greater than forty (40)N.M. from the point at which the yacht is to be returned to the owner.	Планировать и прокладывать маршрут яхты таким образом, чтобы достичь наиболее удаленную точку от точки возврата владельцу (круговая точка) в течение 1/3 периода чартера и затем, чтобы за два дня до окончания чартера порт захода яхты был на расстоянии не более 40 морских миль от места, куда яхта д.б. возвращена Владельцу.
"We do Not know whether these efforts are successful, but it is our obligation to try.	"Мы не знаем, будут ли эти усилия успешными, но это наша обязанность — попытаться.
A month later, the day the peace treaty was signed with Japan, ‘Peace’ received the American Rose Society’s supreme Award, the Gold Medal.	Месяц спустя, в день подписания мирного договора с Японией, роза "Peace" удостаивается высшей награды Американского Розового Общества – Золотой медали.
What are the possible Sub-Zero refrigerator problems?	Какие неисправности могут возникнуть в ходе эксплуатации холодильников Sub-Zero?
83. The Special Rapporteur welcomes these initiatives and encourages other States that have not yet done so to consider developing similar measures and maximizing their efficiency.	83. Специальный докладчик приветствует эти инициативы и призывает другие государства, которые еще не сделали этого, рассмотреть вопрос о разработке аналогичных мер и обеспечении их максимальной эффективности.
Above mine!	Выше моего!
In short, outrage at the Alternative for Germany’s use of the “Slave Market” painting—which may have partially initiated the British Museum’s new exhibit to “counter stereotypes”—is just another attempt to suppress and sugarcoat the truths of Muslim/Western history, especially in its glaring continuity with the present.	Короче говоря, возмущение альтернативным использованием в Германии картины «Невольничий рынок», которая, возможно, отчасти инициировала новую выставку Британского музея для «противодействия стереотипам», — это просто очередная попытка подавить и приукрасить истины мусульманской/западной истории, особенно в ее явной преемственности с настоящим.
The main elements of universal questionnaires, as well as the stages of obtaining the utility index, are described in detail.	Подробно описаны основные элементы универсальных опросников, а также этапы получения индекса полезности.
Trump to Meet with NATO Leaders in May	Трамп встретится с лидерами НАТО в мае
53. The only reference in the Convention to the functions of meetings of States parties was in article 8, paragraph 4, and concerned elections of Committee members.	53. Единственное упоминание о деятельности совещаний государств−участников содержится в пункте 4 статьи 8 Конвенции и касается выборов членов Комитета.
Wow. What a great room.	Вау, какая большая комната
This unique apartment home spotted on ESNY combines the best of preserved turn of the century character with creative and practical solutions for cozy and comfortable living in Stockholm, Sweden.	Эта необыкновенная квартира сочетает в себе все лучшее из ушедшего века с креативными и практичными решениями для уютного и комфортного проживания в Стокгольме, Швеция.
Cushing's syndrome is very rare, affecting around 1 in 50,000 people, and is caused by high levels of the hormone cortisol.	Синдром Кушинга встречается очень редко, приблизительно 1 случай на 50 000 человек и связан с высоким уровнем гормона кортизола.
Nextek’s Direct Coupling® technology creates highly efficient, flexible, uninterruptible Direct Current (DC) power networks in buildings.	Разработанная компанией Nextek технология прямого соединения обеспечивает высокоэффективное, гибкое и бесперебойное питание электросети постоянного тока здания.
Direct state support — grants, public-private partnerships and so on.	Прямая государственная поддержка — это выделение грантов, частно-государственное партнерство и так дальше.
The principal just wanted to meet with me.	Директор просто хотела встретиться со мной.
Centre for Research	Центр исследований «
Taking note of General Assembly resolution 56/64 B, the Special Committee requests the Secretariat to pursue its efforts, through closer coordination between the Department of Peacekeeping Operations and the Department of Public Information, to improve its capacity to deliver coherent guidance for public information activities in peacekeeping operations, and in particular to deliver day-to-day directions, both at Headquarters and to the relevant missions in the field, in crisis situations.	Принимая к сведению резолюцию 56/64 B Генеральной Ассамблеи, Специальный комитет просит Секретариат продолжать свои усилия за счет более тесной координации между Департаментом операций по поддержанию мира и Департаментом общественной информации, с тем чтобы повысить свою способность последовательно направлять деятельность в области общественной информации в рамках операций по поддержанию мира и, в частности, давать на ежедневной основе указания в Центральных учреждениях и соответствующим миссиям на местах в случае кризисных ситуаций.
Legal entities and individuals importing during the author's lifetime or within 50 years after his death it created cultural values, are required to provide proof of the legality of data acquisition of cultural property.	юридические и физические лица, вывозящие при жизни автора либо в течение 50 лет после его смерти созданные им культурные ценности, обязаны представить доказательства законности приобретения данных культурных ценностей;
The Chairman &apos; s statement was based upon the Committee &apos; s deliberations in its consultations on 17 December 2004 concerning the report of the Panel of Experts (see S/2004/955) and was approved at the Committee &apos; s fourth meeting, on 20 December 2004.	Заявление Председателя было подготовлено по итогам обсуждения Комитетом доклада Группы экспертов (см. S/2004/955), состоявшегося в ходе его консультаций, проводившихся 17 декабря 2004 года, и было утверждено на четвертом заседании Комитета 20 декабря 2004 года.
I think that Napoli is one of the top 10 European teams in terms of game play and performance,” said the midfielder.	Я думаю, что "Наполи" входит в десятку лучших европейских команд с точки зрения игры и производительности", - приводит слова словака Kicker.
This is very good for the music.	Это очень хорошо для музыки.
By signing the law on Donbass reintegration, Petro Poroshenko finally confirmed Kiev's intention to solve the conflict in the region by force, the Russian Foreign Ministry has said.	Подписав закон о реинтеграции Донбасса, Петр Порошенко окончательно подтвердил намерение Киева разрешить конфликт в регионе силой, о чем сообщил МИД РФ, согласно Sputnik.
An inquiry is any process that has the aim of augmenting knowledge, resolving doubt, or solving a problem.	Запрос – любой процесс, у которого есть цель увеличивающегося знания, решая сомнение, или решая проблему.
advised the China Development Bank in regards to a number of agreements on its long-term strategic partnership with Ukrtelecom (a leading Ukrainian national telecommunications operator) and Huawei Technologies (one of the largest Chinese networking and telecommunications equipment and services companies);	China Development Bank в связи с заключением ряда соглашений о долгосрочном стратегическом партнерстве с компанией "Укртелеком" (ведущим украинским телекоммуникационным оператором) и Huawei Technologies (одной из крупнейших компаний Китая по производству сетевого и телекоммуникационного оборудования и услуг в сфере ИКТ);
